id,name,parent_id,level,description,image,meta_data,slug
1141411,Home Theater Systems,11414,3,0,0,0,0
1141412,AV Receivers,11414,3,0,0,0,0
1141413,Others,11414,3,0,0,0,0
11415,Audio & Video Cables & Converters,114,2,0,0,0,0
11416,Others,114,2,0,0,0,0
115,Food & Beverage,0,1,0,0,0,0
11510,Ready to eat,115,2,0,0,0,0
1151010,Instant Rice & Porridge,11510,3,0,0,0,0
1151011,Instant Hotpot,11510,3,0,0,0,0
1151012,Instant Noodles,11510,3,0,0,0,0
1151013,Others,11510,3,0,0,0,0
11511,Food Staples,115,2,0,0,0,0
1151110,Dried Food,11511,3,0,0,0,0
1151111,Canned Food,11511,3,0,0,0,0
11512,Baking Needs,115,2,0,0,0,0
11513,Baking decoration,115,2,0,0,0,0
11514,Dairy & Eggs,115,2,0,0,0,0
11515,Fresh & Frozen Food,115,2,0,0,0,0
1151510,Meat,11515,3,0,0,0,0
115151010,Beef,1151510,4,0,0,0,0
115151011,Poultry,1151510,4,0,0,0,0
115151012,Pork,1151510,4,0,0,0,0
115151013,Lamb,1151510,4,0,0,0,0
1151511,Seafood,11515,3,0,0,0,0
115151110,Fish,1151511,4,0,0,0,0
115151111,Prawn,1151511,4,0,0,0,0
115151112,Crab,1151511,4,0,0,0,0
1151512,Mashroom,11515,3,0,0,0,0
1151513,Bread,11515,3,0,0,0,0
1151514,Sausage,11515,3,0,0,0,0
1151515,Fries,11515,3,0,0,0,0
1151516,Others,11515,3,0,0,0,0
11516,Beverages,115,2,0,0,0,0
1151610,Packet Drinks,11516,3,0,0,0,0
1151611,Can Drinks,11516,3,0,0,0,0
1151612,Bottle Drinks,11516,3,0,0,0,0
116,Pets,0,1,0,0,0,0
11610,Pet Accessories,116,2,0,0,0,0
1161010,Toys,11610,3,0,0,0,0
116101010,Sticks & Chasers,1161010,4,0,0,0,0
116101011,"Chew, Bones & Balls",1161010,4,0,0,0,0
116101012,Frisbees,1161010,4,0,0,0,0
116101013,Small Pet Toys,1161010,4,0,0,0,0
116101014,Bird Toys,1161010,4,0,0,0,0
116101015,Fish,1161010,4,0,0,0,0
116101016,Electronic Toys,1161010,4,0,0,0,0
116101017,Bath Toys,1161010,4,0,0,0,0
116101018,Others,1161010,4,0,0,0,0
1161011,Pet Furniture,11610,3,0,0,0,0
116101110,Beds & Mats,1161011,4,0,0,0,0
116101111,Houses,1161011,4,0,0,0,0
116101112,Habitats & Accessories,1161011,4,0,0,0,0
116101113,Cages & Crates,1161011,4,0,0,0,0
116101114,Scratching Pads & Posts,1161011,4,0,0,0,0
1161012,Aquarium Needs,11610,3,0,0,0,0
11611,Litter & Toilet,116,2,0,0,0,0
11612,Pet Grooming,116,2,0,0,0,0
1161210,Hair Care,11612,3,0,0,0,0
1161211,Oral Care,11612,3,0,0,0,0
1161212,Claw Care,11612,3,0,0,0,0
1161213,Body Care,11612,3,0,0,0,0
11613,Pet Clothing & Accessories,116,2,0,0,0,0
1161310,Wet Weather Gear,11613,3,0,0,0,0
1161311,"Boots, Socks & Paw Protectors",11613,3,0,0,0,0
1161312,Neck Accessories,11613,3,0,0,0,0
1161313,Eyewear,11613,3,0,0,0,0
1161314,Hair Accessories,11613,3,0,0,0,0
1161315,Hats,11613,3,0,0,0,0
1161316,Others,11613,3,0,0,0,0
117,Mom & Baby,0,1,0,0,0,0
11710,Baby Travel Essentials,117,2,0,0,0,0
1171010,Baby Carrier,11710,3,0,0,0,0
1171011,Strollers & Travel Systems,11710,3,0,0,0,0
1171012,Stroller Accessories,11710,3,0,0,0,0
1171013,Car & Motorbike Seats Accessories,11710,3,0,0,0,0
1171014,Diaper Bags,11710,3,0,0,0,0
1171015,Child Harnesses & Leashes,11710,3,0,0,0,0
11711,Feeding Essentials,117,2,0,0,0,0
1171110,Bottle Cooler Bag,11711,3,0,0,0,0
1171111,Bottle Cleansing,11711,3,0,0,0,0
1171112,Warmers,11711,3,0,0,0,0
1171113,Nursing Covers,11711,3,0,0,0,0
1171114,Breastmilk Storage Bags,11711,3,0,0,0,0
1171115,Highchairs & Booster Seats,11711,3,0,0,0,0
1171116,Baby Tableware,11711,3,0,0,0,0
1171117,Baby Food Containers,11711,3,0,0,0,0
1171118,Bibs,11711,3,0,0,0,0
1171119,Pacifiers,11711,3,0,0,0,0
1171120,Food Processors,11711,3,0,0,0,0
11712,Maternity Accessories,117,2,0,0,0,0
1171210,Supporting Belts,11712,3,0,0,0,0
1171211,Maternity Pillows,11712,3,0,0,0,0
11713,Bath & Body Care,117,2,0,0,0,0
1171310,Bathing Tubs & Seats,11713,3,0,0,0,0
1171311,"Bath Robes, Towels & Wash Cloths",11713,3,0,0,0,0
1171312,Shower Caps,11713,3,0,0,0,0
1171313,Bathing Tools & Accessories,11713,3,0,0,0,0
1171314,Baby Grooming Tools,11713,3,0,0,0,0
11714,Nursery,117,2,0,0,0,0
1171410,Cribs & Cradles & Beds,11714,3,0,0,0,0
1171411,"Bouncers, Rockers & Jumpers",11714,3,0,0,0,0
1171412,Walkers,11714,3,0,0,0,0
1171413,Blankets & Wrappers,11714,3,0,0,0,0
1171414,Pillows & Bolsters,11714,3,0,0,0,0
1171415,Bedsheets,11714,3,0,0,0,0
1171416,Storage & Organization,11714,3,0,0,0,0
11715,Baby Safety,117,2,0,0,0,0
1171510,Monitors,11715,3,0,0,0,0
1171511,Mosquito Netting,11715,3,0,0,0,0
1171512,"Bumpers, Rails & Guards",11715,3,0,0,0,0
1171513,Edge & Corner Guards,11715,3,0,0,0,0
1171514,Baby Gates & Doorways,11715,3,0,0,0,0
1171515,Safety Locks & Straps,11715,3,0,0,0,0
11716,Diapering & Potty,117,2,0,0,0,0
1171610,Changing Pads & Kits,11716,3,0,0,0,0
1171611,Potty Training & Commode Chairs,11716,3,0,0,0,0
1171612,Cloth Diapers & Accessories,11716,3,0,0,0,0
11717,Toys,117,2,0,0,0,0
1171710,Baby & Toddler Toys,11717,3,0,0,0,0
117171010,Playgym & Playmats,1171710,4,0,0,0,0
117171011,Playards & Playpens,1171710,4,0,0,0,0
117171012,Bath Toys,1171710,4,0,0,0,0
117171013,Crib Mobiles & Rattles,1171710,4,0,0,0,0
117171014,Teethers,1171710,4,0,0,0,0
1171711,Block Toys,11717,3,0,0,0,0
1171712,Dolls & Stuffed Toys,11717,3,0,0,0,0
117171210,Dolls & Accessories,1171712,4,0,0,0,0
117171211,Doll Houses & Accessories,1171712,4,0,0,0,0
117171212,Stuffed Toys,1171712,4,0,0,0,0
1171713,Pretend Play,11717,3,0,0,0,0
1171714,Toy Vehicles,11717,3,0,0,0,0
1171715,Sports & Outdoor Play,11717,3,0,0,0,0
117171510,"Bicycles, Scooters & Ride-ons",1171715,4,0,0,0,0
117171511,Inflatables & Slides,1171715,4,0,0,0,0
117171512,"Play Tents, Tunnels & Ball Pits",1171715,4,0,0,0,0
117171513,"Pool, Water & Sand Toys",1171715,4,0,0,0,0
117171514,Sports Toys,1171715,4,0,0,0,0
117171515,"Flying Toys, Kites & Wind Spinners",1171715,4,0,0,0,0
1171716,Educational Toys,11717,3,0,0,0,0
117171610,Math Toys,1171716,4,0,0,0,0
117171611,Science & Tech Toys,1171716,4,0,0,0,0
117171612,Shape Sorters,1171716,4,0,0,0,0
117171613,Puzzles,1171716,4,0,0,0,0
117171614,Musical Toys,1171716,4,0,0,0,0
117171615,Toy Tablets & Computers,1171716,4,0,0,0,0
1171717,Robot Toys,11717,3,0,0,0,0
1171718,Slime & Squishy Toys,11717,3,0,0,0,0
118,Baby & Kids Fashion,0,1,0,0,0,0
11810,Baby Clothes,118,2,0,0,0,0
1181010,Regular Outerwear,11810,3,0,0,0,0
1181011,Winter Outerwear,11810,3,0,0,0,0
1181012,Dresses,11810,3,0,0,0,0
1181013,Pants & Leggings,11810,3,0,0,0,0
1181014,Shorts,11810,3,0,0,0,0
1181015,Skirts,11810,3,0,0,0,0
1181016,Sleepwear,11810,3,0,0,0,0
1181017,Tops,11810,3,0,0,0,0
1181018,Bodysuits & Jumpsuits,11810,3,0,0,0,0
1181019,Sets,11810,3,0,0,0,0
1181020,Swimwear,11810,3,0,0,0,0
11811,Baby Mittens & Footwear,118,2,0,0,0,0
11812,Baby & Kids Accessories,118,2,0,0,0,0
1181210,Bags & Luggage,11812,3,0,0,0,0
118121010,Backpacks,1181210,4,0,0,0,0
118121011,Crossbody & Shoulder Bags,1181210,4,0,0,0,0
118121012,Trolley Bags,1181210,4,0,0,0,0
118121013,Wallets,1181210,4,0,0,0,0
1181211,Hats & Caps,11812,3,0,0,0,0
1181212,Eyewear,11812,3,0,0,0,0
1181213,Hair Accessories,11812,3,0,0,0,0
1181214,Gloves,11812,3,0,0,0,0
1181215,Belts,11812,3,0,0,0,0
1181216,Socks,11812,3,0,0,0,0
1181217,Scarves,11812,3,0,0,0,0
1181218,Watches,11812,3,0,0,0,0
1181219,Jewelry,11812,3,0,0,0,0
118121910,Bracelets,1181219,4,0,0,0,0
118121911,Earrings,1181219,4,0,0,0,0
118121912,Necklaces,1181219,4,0,0,0,0
118121913,Rings,1181219,4,0,0,0,0
1181220,Rain Gear,11812,3,0,0,0,0
118122010,Raincoats,1181220,4,0,0,0,0
118122011,Rain Boots,1181220,4,0,0,0,0
1181221,Earmuffs,11812,3,0,0,0,0
11813,Boy Clothes,118,2,0,0,0,0
1181310,Costumes,11813,3,0,0,0,0
1181311,Underwear & Innerwear,11813,3,0,0,0,0
1181312,Sleepwear,11813,3,0,0,0,0
1181313,Swimwear,11813,3,0,0,0,0
1181314,Tops,11813,3,0,0,0,0
118131410,T-shirts,1181314,4,0,0,0,0
118131411,Polo Shirts,1181314,4,0,0,0,0
118131412,Shirts,1181314,4,0,0,0,0
1181315,Outerwear,11813,3,0,0,0,0
118131510,Regular Jackets & Coats,1181315,4,0,0,0,0
118131511,Winter Outerwear,1181315,4,0,0,0,0
118131512,Vests,1181315,4,0,0,0,0
118131513,Sweaters & Cardigans,1181315,4,0,0,0,0
118131514,Blazers,1181315,4,0,0,0,0
118131515,Hoodies,1181315,4,0,0,0,0
1181316,Bottoms,11813,3,0,0,0,0
118131610,Jeans,1181316,4,0,0,0,0
118131611,Pants,1181316,4,0,0,0,0
118131612,Shorts,1181316,4,0,0,0,0
118131613,Overalls,1181316,4,0,0,0,0
1181317,Suits & Sets,11813,3,0,0,0,0
11814,Girl Clothes,118,2,0,0,0,0
1181410,Costumes,11814,3,0,0,0,0
1181411,Underwear & Innerwear,11814,3,0,0,0,0
1181412,Sleepwear,11814,3,0,0,0,0
1181413,Swimwear,11814,3,0,0,0,0
1181414,Tops,11814,3,0,0,0,0
118141410,T-shirts,1181414,4,0,0,0,0
118141411,Polo Shirts,1181414,4,0,0,0,0
118141412,Shirts & Blouses,1181414,4,0,0,0,0
1181415,Outerwear,11814,3,0,0,0,0
118141510,Regular Jackets & Coats,1181415,4,0,0,0,0
118141511,Winter Outerwear,1181415,4,0,0,0,0
118141512,Vests,1181415,4,0,0,0,0
118141513,Sweaters & Cardigans,1181415,4,0,0,0,0
118141514,Blazers,1181415,4,0,0,0,0
118141515,Hoodies,1181415,4,0,0,0,0
1181416,Bottoms,11814,3,0,0,0,0
118141610,Jeans,1181416,4,0,0,0,0
118141611,Pants,1181416,4,0,0,0,0
118141612,Shorts,1181416,4,0,0,0,0
118141613,Skirts,1181416,4,0,0,0,0
118141614,Leggings,1181416,4,0,0,0,0
1181417,Suits & Sets,11814,3,0,0,0,0
1181418,Rompers & Jumpsuits,11814,3,0,0,0,0
1181419,Dresses,11814,3,0,0,0,0
11815,Boy Shoes,118,2,0,0,0,0
1181510,Boots,11815,3,0,0,0,0
1181511,Sandals,11815,3,0,0,0,0
1181512,Sneakers,11815,3,0,0,0,0
1181513,Flip Flops,11815,3,0,0,0,0
1181514,Formal Shoes,11815,3,0,0,0,0
1181515,Loafers,11815,3,0,0,0,0
11816,Girl Shoes,118,2,0,0,0,0
1181610,Boots,11816,3,0,0,0,0
1181611,Sandals,11816,3,0,0,0,0
1181612,Sneakers,11816,3,0,0,0,0
1181613,Loafers,11816,3,0,0,0,0
1181614,Flip Flops,11816,3,0,0,0,0
1181615,Flats,11816,3,0,0,0,0
119,Gaming & Consoles,0,1,0,0,0,0
11910,Console Machines,119,2,0,0,0,0
1191010,Xbox,11910,3,0,0,0,0
1191011,Wii,11910,3,0,0,0,0
1191012,Nintendo DS,11910,3,0,0,0,0
11911,Console Accessories,119,2,0,0,0,0
